Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#G1117	Generisk data	"Trockenestrich (gipskartonplatte; 25 mm)"	Gips, tørstof (gipskartonplade) (tykkelse 0,025 m)	1c219127-3373-51c5-b743-3f6d2c1b01ae	3,18370726	0	1,523463906	0	1	M2	20,07	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93a02bbc-e268-4d2f-a8c4-7cda473b7eab?version=20.23.050		
#D1519	Dansk generisk data	-	Gipskartonplade 13 mm, hulplade	e9abdab3-a5a1-56bf-8052-085f963d06ad	2,585	0,05258	1,144	-0,2313	1	M2	10,6	kg/m²	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		7
#D1521	Dansk generisk data	-	Gipskartonplade, brandimprægneret	4e31b812-a7c3-53ab-9e90-6c8bf22b3c72	3,894	0,143	0,561	-0,02079	1	M2	12,7	kg/m²	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		12
#D1518	Dansk generisk data	-	Gipsfiberplade 10 mm	a74004db-96fb-5d5c-b6fa-d1b4cfdee24a	2,739	0,07359	0,9867	-0,1917	1	M2	12,2	kg/m²	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		
#D1516	Dansk generisk data	-	Gipskartonplade 13 mm, hulplade	e9abdab3-a5a1-56bf-8052-085f963d06ad	1,353	0,0407	0,5181	-0,1494	1	M2	7,9	kg/m²	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		7
#G0722	Generisk data	Gips (caso4-alpha-halbhydrat)	Gipspulver, Alpha-halvhydrat	6a7d710d-9aab-5f3e-bf94-65e22b28d98a	0,259096067	0	0,017601035	0	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93f371be-ae3e-4baf-b607-5e2563a9288f?version=20.23.050		
#G0098	Generisk data	Gipsstein (caso4-dihydrat)	Gipssten	d5cf33f5-a025-5000-a1dd-eb7741310364	0,002156219	0	0,016092732	0	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f7ad2652-d3a4-4d01-8f54-e668d1257ed1?version=20.23.050		
#G0984	Generisk data	Fensterglas einfach	Glas 3 mm	3f396782-a9c4-565c-a174-a13639757ea9	13,34609905	0	0,176010353	0	1	M2	10	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3598f7e3-1be1-4a05-9d2e-f41ad4623ced?version=20.23.050		
#G0954	Generisk data	Glasbausteine	Glasbyggesten	d4b7eef6-890b-52cb-a196-c75c7914dda0	3893,024579	0	47,77334744	0	1	M3	2500	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bf575960-32e9-47f6-833e-cba96c88dbd2?version=20.23.050		
#G0108	Generisk data	Glasvlies	Glasfiberdug	24e7b768-b5b9-5204-8193-64101d7be1d3	0,274166343	0	0,002112124	0	1	M2	0,12	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/49ff9df1-d12d-48f6-a391-0d72d695ffcf?version=20.23.050		
